Function Name,Submodule,Scope,Priority,References,Test Suite,File,Line
pythainlp.corpus.util.tokenize,corpus,public,medium,991,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/util.py,136
pythainlp.khavee.core.KhaveeVerifier.__init__,khavee,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/khavee/core.py,15
pythainlp.phayathaibert.core.ThaiTextProcessor.__init__,phayathaibert,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/phayathaibert/core.py,25
pythainlp.soundex.complete_soundex.CompleteSoundex.__init__,soundex,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/soundex/complete_soundex.py,46
pythainlp.tokenize.attacut.AttacutTokenizer.__init__,tokenize,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/attacut.py,19
pythainlp.tokenize.multi_cut.LatticeString.__init__,tokenize,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/multi_cut.py,31
pythainlp.transliterate.thai2rom.ThaiTransliterator.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,22
pythainlp.transliterate.thai2rom.Encoder.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,101
pythainlp.transliterate.thai2rom.Attn.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,165
pythainlp.transliterate.thai2rom.AttentionDecoder.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,211
pythainlp.transliterate.thai2rom.Seq2Seq.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom.py,261
pythainlp.transliterate.thai2rom_onnx.ThaiTransliterator_ONNX.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,21
pythainlp.transliterate.thai2rom_onnx.Seq2Seq_ONNX.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thai2rom_onnx.py,91
pythainlp.transliterate.thaig2p.ThaiG2P.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,36
pythainlp.transliterate.thaig2p.Encoder.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,112
pythainlp.transliterate.thaig2p.Attn.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,178
pythainlp.transliterate.thaig2p.AttentionDecoder.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,224
pythainlp.transliterate.thaig2p.Seq2Seq.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,274
pythainlp.transliterate.w2p.Thai_W2P.__init__,transliterate,public,medium,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,52
