Submodule,Total,Complete,Incomplete,None,% Complete,Mypy Errors
__main__,1,1,0,0,100.00%,0
ancient,2,2,0,0,100.00%,6
augment,29,29,0,0,100.00%,7
benchmarks,8,7,1,0,87.50%,6
chat,4,4,0,0,100.00%,6
classify,5,5,0,0,100.00%,6
cli,21,21,0,0,100.00%,6
coref,5,4,0,1,80.00%,6
corpus,70,69,1,0,98.57%,6
el,5,5,0,0,100.00%,6
generate,15,13,2,0,86.67%,10
khavee,9,8,0,1,88.89%,6
lm,2,2,0,0,100.00%,6
morpheme,2,2,0,0,100.00%,6
parse,9,9,0,0,100.00%,6
phayathaibert,19,18,0,1,94.74%,6
soundex,27,27,0,0,100.00%,6
spell,43,43,0,0,100.00%,6
summarize,17,17,0,0,100.00%,9
tag,68,68,0,0,100.00%,7
tokenize,73,68,0,5,93.15%,6
tokenizeicu,3,3,0,0,100.00%,0
tools,9,9,0,0,100.00%,6
translate,44,39,3,2,88.64%,6
transliterate,75,53,4,18,70.67%,7
transliterateicu,1,1,0,0,100.00%,0
ulmfit,25,21,0,4,84.00%,10
util,109,105,3,1,96.33%,6
wangchanberta,9,5,0,4,55.56%,6
word_vector,7,7,0,0,100.00%,8
wsd,4,4,0,0,100.00%,6
