Function Name,Submodule,Scope,Priority,Params Hinted,Has Return,References,Test Suite,File,Line
pythainlp.tokenize.nercut.segment,tokenize,public,medium,2/3,True,350,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/tokenize/nercut.py,22
pythainlp.classify.param_free.GzipModel.load,classify,public,medium,1/1,False,334,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,101
pythainlp.transliterate.thaig2p_v2.transliterate,transliterate,public,medium,1/2,True,127,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p_v2.py,41
pythainlp.transliterate.umt5_thaig2p.transliterate,transliterate,public,medium,1/2,True,127,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/umt5_thaig2p.py,41
pythainlp.transliterate.wunsen.WunsenTransliterate.transliterate,transliterate,public,medium,5/5,False,127,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/wunsen.py,37
pythainlp.augment.lm.fasttext.FastTextAug.__init__,augment,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/lm/fasttext.py,17
pythainlp.augment.word2vec.bpemb_wv.BPEmbAug.__init__,augment,public,medium,3/3,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/augment/word2vec/bpemb_wv.py,16
pythainlp.classify.param_free.GzipModel.__init__,classify,public,medium,2/2,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/classify/param_free.py,24
pythainlp.coref._fastcoref.FastCoref.__init__,coref,public,medium,2/4,True,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/coref/_fastcoref.py,8
pythainlp.coref.han_coref.HanCoref.__init__,coref,public,medium,1/2,True,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/coref/han_coref.py,10
pythainlp.el.core.EntityLinker.__init__,el,public,medium,3/3,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/el/core.py,10
pythainlp.generate.core.Unigram.__init__,generate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,33
pythainlp.generate.core.Bigram.__init__,generate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,119
pythainlp.generate.core.Trigram.__init__,generate,public,medium,1/1,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/core.py,206
pythainlp.spell.pn.NorvigSpellChecker.__init__,spell,public,medium,5/5,False,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/spell/pn.py,123
