Submodule,Total,Complete,Incomplete,None,% Complete
__main__,1,0,0,1,0.00%
ancient,2,2,0,0,100.00%
augment,29,18,4,7,62.07%
benchmarks,8,7,1,0,87.50%
chat,4,1,1,2,25.00%
classify,5,1,3,1,20.00%
cli,21,21,0,0,100.00%
coref,5,2,2,1,40.00%
corpus,70,68,1,1,97.14%
el,5,1,1,3,20.00%
generate,15,8,6,1,53.33%
khavee,9,7,0,2,77.78%
lm,2,2,0,0,100.00%
morpheme,2,2,0,0,100.00%
parse,9,9,0,0,100.00%
phayathaibert,19,17,0,2,89.47%
soundex,27,26,0,1,96.30%
spell,43,41,2,0,95.35%
summarize,17,12,5,0,70.59%
tag,68,66,2,0,97.06%
tokenize,73,62,3,8,84.93%
tokenizeicu,3,3,0,0,100.00%
tools,9,9,0,0,100.00%
translate,44,37,5,2,84.09%
transliterate,75,36,9,30,48.00%
transliterateicu,1,1,0,0,100.00%
ulmfit,25,17,4,4,68.00%
util,109,103,4,2,94.50%
wangchanberta,9,4,1,4,44.44%
word_vector,7,7,0,0,100.00%
wsd,4,2,2,0,50.00%
