กระบี่,กบ,Krabi,KBI
กรุงเทพมหานคร,กทม,Bangkok,BKK
กาญจนบุรี,กจ,Kanchanaburi,KRI
กาฬสินธุ์,กส,Kalasin,KSN
กำแพงเพชร,กพ,Kamphaeng Phet,KPT
ขอนแก่น,ขก,Khon Kaen,KKN
จันทบุรี,จบ,Chanthaburi,CTI
ฉะเชิงเทรา,ฉช,Chachoengsao,CCO
ชลบุรี,ชบ,Chon Buri,CBI
ชัยนาท,ชน,Chai Nat,CNT
ชัยภูมิ,ชย,Chaiyaphum,CPM
ชุมพร,ชพ,Chumphon,CPN
เชียงราย,ชร,Chiang Rai,CRI
เชียงใหม่,ชม,Chiang Mai,CMI
ตรัง,ตง,Trang,TRG
ตราด,ตร,Trat,TRT
ตาก,ตก,Tak,TAK
นครนายก,นย,Nakhon Nayok,NYK
นครปฐม,นฐ,Nakhon Pathom,NPT
นครพนม,นพ,Nakhon Phanom,NPM
นครราชสีมา,นม,Nakhon Ratchasima,NMA
นครศรีธรรมราช,นศ,Nakhon Si Thammarat,NRT
นครสวรรค์,นว,Nakhon Sawan,NSN
นนทบุรี,นบ,Nonthaburi,NBI
นราธิวาส,นธ,Narathiwat,NWT
น่าน,นน,Nan,NAN
บึงกาฬ,บก,Bueng Kan,BKN
บุรีรัมย์,บร,Buri Ram,BRM
ปทุมธานี,ปท,Pathum Thani,PTE
ประจวบคีรีขันธ์,ปข,Prachuap Khiri Khan,PKN
ปราจีนบุรี,ปจ,Prachin Buri,PRI
ปัตตานี,ปน,Pattani,PTN
พะเยา,พย,Phayao,PYO
พระนครศรีอยุธยา,อย,Phra Nakhon Si Ayutthaya,AYA
พังงา,พง,Phangnga,PNA
พัทลุง,พท,Phatthalung,PLG
พิจิตร,พจ,Phichit,PCK
พิษณุโลก,พล,Phitsanulok,PLK
เพชรบุรี,พบ,Phetchaburi,PBI
เพชรบูรณ์,พช,Phetchabun,PNB
แพร่,พร,Phrae,PRE
ภูเก็ต,ภก,Phuket,PKT
มหาสารคาม,มค,Maha Sarakham,MKM
มุกดาหาร,มห,Mukdahan,MDH
แม่ฮ่องสอน,มส,Mae Hong Son,MSN
ยโสธร,ยส,Yasothon,YST
ยะลา,ยล,Yala,YLA
ร้อยเอ็ด,รอ,Roi Et,RET
ระนอง,รน,Ranong,RNG
ระยอง,รย,Rayong,RYG
ราชบุรี,รบ,Ratchaburi,RBR
ลพบุรี,ลบ,Lop Buri,LRI
ลำปาง,ลป,Lampang,LPG
ลำพูน,ลพ,Lamphun,LPN
เลย,ลย,Loei,LEI
ศรีสะเกษ,ศก,Si Sa Ket,SSK
สกลนคร,สน,Sakon Nakhon,SNK
สงขลา,สข,Songkhla,SKA
สตูล,สต,Satun,STN
สมุทรปราการ,สป,Samut Prakan,SPK
สมุทรสงคราม,สส,Samut Songkhram,SKM
สมุทรสาคร,สค,Samut Sakhon,SKN
สระแก้ว,สก,Sa Kaeo,SKW
สระบุรี,สบ,Saraburi,SRI
สิงห์บุรี,สห,Sing Buri,SBR
สุโขทัย,สท,Sukhothai,STI
สุพรรณบุรี,สพ,Suphan Buri,SPB
สุราษฎร์ธานี,สฎ,Surat Thani,SNI
สุรินทร์,สร,Surin,SRN
หนองคาย,นค,Nong Khai,NKI
หนองบัวลำภู,นภ,Nong Bua Lam Phu,NBP
อ่างทอง,อท,Ang Thong,ATG
อำนาจเจริญ,อจ,Amnat Charoen,ACR
อุดรธานี,อด,Udon Thani,UDN
อุตรดิตถ์,อต,Uttaradit,UTT
อุทัยธานี,อน,Uthai Thani,UTI
อุบลราชธานี,อบ,Ubon Ratchathani,UBN
